;Bundle             = 1
;Partition          = 1
;Operator           = N.U. X-ray Dif. Fac
;Gonio              = ATX-G
;Memo               = J.B. Cohen X-ray Diffraction Facility
;IncidentMonochro   = Slit collimation
;CounterMonochro    = Receiving slit
;Attachment         = XY-STAGE
;Filter             = 
;SlitName0          = XRR Compression 5*.5
;SlitName1          = Reciprocal SM Slit Collimation
;Counter            = SC-70
;KAlpha1            = 1.54056
;KAlpha2            = 1.54439
;KBata              = 0
;Target             = Cu
;KV                 = 50
;mA                 = 240
;AxisName           = 2Theta/Omega
;MeasurementMethod = Continuation
;Start              = 0
;Finish             = 6
;Speed              = 0.25
;FixedTime          = 
;Width              = 0.02
;FullScale         = 1e+08
;Comment            = 
;SampleName         = 
;Xunit              = deg.
;Yunit              = CPS
0.0000 48499252.0
0.0200 58873472.0
0.0400 53145332.0
0.0600 23861702.0
0.0800 10517527.0
0.1000 5876188.0
0.1200 3528164.5
0.1400 2849649.5
0.1600 3070934.5
0.1800 3396848.5
0.2000 3765319.0
0.2200 4133246.8
0.2400 4502580.5
0.2600 4862617.5
0.2800 5228867.5
0.3000 5580777.0
0.3200 6013415.5
0.3400 6352598.5
0.3600 6673641.5
0.3800 6973808.5
0.4000 7271228.0
0.4200 7581814.5
0.4400 7842344.0
0.4600 8134392.0
0.4800 8336920.0
0.5000 8544384.0
0.5200 8692652.0
0.5400 8765549.0
0.5600 8818254.0
0.5800 8705819.0
0.6000 8393852.0
0.6200 7730630.0
0.6400 6576598.5
0.6600 5072704.0
0.6800 3551900.0
0.7000 2268675.5
0.7200 1375425.2
0.7400 851893.8
0.7600 621325.4
0.7800 594005.5
0.8000 667340.5
0.8200 774923.4
0.8400 871378.4
0.8600 933700.2
0.8800 958913.4
0.9000 946142.1
0.9200 897244.6
0.9400 820705.6
0.9600 725185.4
0.9800 627722.9
1.0000 523943.7
1.0200 429573.9
1.0400 342702.1
1.0600 269822.1
1.0800 210270.4
1.1000 164256.5
1.1200 130626.3
1.1400 106351.7
1.1600 90177.7
1.1800 80099.5
1.2000 73588.9
1.2200 69014.6
1.2400 65239.3
1.2600 61447.2
1.2800 57068.8
1.3000 51942.3
1.3200 46613.3
1.3400 41307.7
1.3600 36082.5
1.3800 32195.1
1.4000 29443.6
1.4200 28374.3
1.4400 28552.3
1.4600 30394.5
1.4800 33738.3
1.5000 37925.5
1.5200 42830.9
1.5400 47960.1
1.5600 52793.0
1.5800 57153.0
1.6000 60413.8
1.6200 62499.7
1.6400 63144.3
1.6600 62323.7
1.6800 60243.8
1.7000 57444.1
1.7200 52960.1
1.7400 48135.6
1.7600 42836.1
1.7800 37098.9
1.8000 31754.3
1.8200 26540.7
1.8400 21730.6
1.8600 17752.4
1.8800 14171.7
1.9000 11499.3
1.9200 9328.2
1.9400 7875.3
