;Bundle             = 1
;Partition          = 1
;Operator           = N.U. X-ray Dif. Fac
;Gonio              = ATX-G
;Memo               = J.B. Cohen X-ray Diffraction Facility
;IncidentMonochro   = Slit collimation
;CounterMonochro    = Receiving slit
;Attachment         = XY-STAGE
;Filter             = 
;SlitName0          = XRR Compression 5*.5
;SlitName1          = Reciprocal SM Slit Collimation
;Counter            = SC-70
;KAlpha1            = 1.54056
;KAlpha2            = 1.54439
;KBata              = 0
;Target             = Cu
;KV                 = 50
;mA                 = 240
;AxisName           = 2Theta/Omega
;MeasurementMethod = Continuation
;Start              = 0
;Finish             = 6
;Speed              = 0.25
;FixedTime          = 
;Width              = 0.02
;FullScale         = 1e+08
;Comment            = 
;SampleName         = 
;Xunit              = deg.
;Yunit              = CPS
0.0000 45096504.0
0.0200 54717296.0
0.0400 49681864.0
0.0600 21911026.0
0.0800 8791000.0
0.1000 3874671.0
0.1200 898580.1
0.1400 213491.5
0.1600 107545.5
0.1800 68965.8
0.2000 60560.4
0.2200 55536.6
0.2400 49215.9
0.2600 43129.0
0.2800 38514.1
0.3000 35611.9
0.3200 33965.7
0.3400 32134.3
0.3600 30504.5
0.3800 29545.0
0.4000 28932.2
0.4200 28273.2
0.4400 26741.4
0.4600 24636.9
0.4800 22475.0
0.5000 19812.5
0.5200 17236.5
0.5400 14570.1
0.5600 12438.7
0.5800 10742.5
0.6000 9151.1
0.6200 7854.1
0.6400 6787.7
0.6600 5993.5
0.6800 5338.3
0.7000 4774.9
0.7200 4203.7
0.7400 3693.9
0.7600 3375.0
0.7800 3001.1
0.8000 2670.6
0.8200 2380.3
0.8400 2184.2
0.8600 2009.8
0.8800 1861.8
0.9000 1786.7
0.9200 1641.8
0.9400 1579.7
0.9600 1459.7
0.9800 1365.5
1.0000 1192.1
1.0200 1069.3
1.0400 996.7
1.0600 856.4
1.0800 744.8
1.1000 659.4
1.1200 591.8
1.1400 552.0
1.1600 472.9
1.1800 441.9
1.2000 420.6
1.2200 371.6
1.2400 344.9
1.2600 337.2
1.2800 308.4
1.3000 281.1
1.3200 270.9
1.3400 259.2
1.3600 241.1
1.3800 231.3
1.4000 228.0
1.4200 222.1
1.4400 227.3
1.4600 241.9
1.4800 242.6
1.5000 247.8
1.5200 259.7
1.5400 251.5
1.5600 293.8
1.5800 279.5
1.6000 288.2
1.6200 283.0
1.6400 291.5
1.6600 294.5
1.6800 289.3
1.7000 266.3
1.7200 255.7
1.7400 252.8
1.7600 231.9
1.7800 215.7
1.8000 212.5
1.8200 171.9
1.8400 176.9
1.8600 170.0
1.8800 149.6
1.9000 125.9
1.9200 128.6
1.9400 121.5
1.9600 118.3
1.9800 107.9
2.0000 111.7
2.0200 102.9
2.0400 105.2
2.0600 108.3
2.0800 109.0
2.1000 103.3
2.1200 95.8
