;Bundle             = 1
;Partition          = 1
;Operator           = N.U. X-ray Dif. Fac
;Gonio              = ATX-G
;Memo               = J.B. Cohen X-ray Diffraction Facility
;IncidentMonochro   = Slit collimation
;CounterMonochro    = Receiving slit
;Attachment         = XY-STAGE
;Filter             = 
;SlitName0          = XRR Compression 5*.5
;SlitName1          = Reciprocal SM Slit Collimation
;Counter            = SC-70
;KAlpha1            = 1.54056
;KAlpha2            = 1.54439
;KBata              = 0
;Target             = Cu
;KV                 = 50
;mA                 = 240
;AxisName           = Z
;MeasurementMethod = Continuation
;Start              = -0.7155
;Finish             = 0.4875
;Speed              = 3
;FixedTime          = 
;Width              = 0.003
;FullScale         = 145000
;Comment            = 
;SampleName         = 11182019_sro_sto111
;Xunit              = mm
;Yunit              = CPS
-0.7155 121009.4
-0.7125 117922.1
-0.7095 116677.8
-0.7065 115769.3
-0.7035 118965.2
-0.7005 114846.8
-0.6975 117484.5
-0.6945 117122.9
-0.6915 119188.1
-0.6885 117080.9
-0.6855 116593.4
-0.6825 118781.4
-0.6795 117390.8
-0.6765 116765.2
-0.6735 118733.0
-0.6705 121094.5
-0.6675 119357.3
-0.6645 117827.4
-0.6615 116390.3
-0.6585 119424.8
-0.6555 118040.9
-0.6525 121227.0
-0.6495 116730.9
-0.6465 116777.7
-0.6435 119204.4
-0.6405 118072.9
-0.6375 117338.3
-0.6345 115373.9
-0.6315 115401.7
-0.6285 115732.7
-0.6255 118804.9
-0.6225 116360.5
-0.6195 120199.9
-0.6165 118774.0
-0.6135 118511.1
-0.6105 119202.9
-0.6075 118108.3
-0.6045 116895.0
-0.6015 117852.8
-0.5985 117415.9
-0.5955 118065.5
-0.5925 119855.2
-0.5895 119159.3
-0.5865 117449.5
-0.5835 114650.4
-0.5805 115737.0
-0.5775 121008.0
-0.5745 117560.6
-0.5715 117606.3
-0.5685 116257.3
-0.5655 120537.4
-0.5625 117833.9
-0.5595 115407.8
-0.5565 114659.8
-0.5535 113760.3
-0.5505 116572.0
-0.5475 110539.7
-0.5445 112412.9
-0.5415 112090.6
-0.5385 109882.0
-0.5355 113121.3
-0.5325 108895.7
-0.5295 106276.3
-0.5265 105680.6
-0.5235 104445.8
-0.5205 101058.2
-0.5175 97890.6
-0.5145 98489.9
-0.5115 96109.4
-0.5085 93372.2
-0.5055 89803.6
-0.5025 90572.9
-0.4995 89377.0
-0.4965 83134.5
-0.4935 85561.6
-0.4905 82569.6
-0.4875 79893.6
-0.4845 78571.3
-0.4815 71892.3
-0.4785 71166.4
-0.4755 70041.5
-0.4725 65626.5
-0.4695 65049.2
-0.4665 63739.3
-0.4635 58403.6
-0.4605 57997.3
-0.4575 53865.7
-0.4545 51752.6
-0.4515 50524.9
-0.4485 46928.7
-0.4455 44879.8
-0.4425 42540.3
